Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,1612.000000,1613.000000,1595.750000,1598.050049,1558.647461,7068628
2023-03-02,1594.000000,1605.949951,1582.000000,1584.449951,1545.382690,8695907
2023-03-03,1596.000000,1620.000000,1588.000000,1615.900024,1576.057373,7493117
2023-03-06,1620.000000,1639.449951,1618.050049,1627.300049,1587.176392,13502355
2023-03-08,1620.000000,1639.500000,1620.000000,1630.550049,1590.346191,10049887
2023-03-09,1629.949951,1645.949951,1627.000000,1630.699951,1590.492432,10350083
2023-03-10,1610.449951,1613.750000,1585.000000,1588.650024,1549.479248,13693500
2023-03-13,1587.900024,1603.800049,1564.949951,1568.550049,1529.874878,13221775
2023-03-14,1570.250000,1583.599976,1559.300049,1564.349976,1525.778320,16592806
2023-03-15,1578.000000,1582.900024,1536.599976,1541.900024,1503.882080,18632377
2023-03-16,1539.000000,1559.099976,1532.050049,1551.900024,1513.635498,10876671
2023-03-17,1557.500000,1579.199951,1540.000000,1572.650024,1533.873779,11475438
2023-03-20,1567.949951,1568.099976,1545.400024,1561.750000,1523.242554,13251557
2023-03-21,1571.949951,1582.500000,1556.199951,1579.449951,1540.506104,16525247
2023-03-22,1584.000000,1586.050049,1565.300049,1575.800049,1536.946167,7088662
2023-03-23,1567.750000,1590.349976,1558.550049,1563.150024,1524.608032,14182089
2023-03-24,1560.000000,1573.900024,1554.949951,1560.650024,1522.169678,15738874
2023-03-27,1562.199951,1579.449951,1558.900024,1567.449951,1528.801880,15936003
2023-03-28,1565.699951,1582.900024,1564.099976,1580.199951,1541.237549,19638151
2023-03-29,1584.000000,1602.000000,1581.900024,1587.800049,1548.650269,19881806
2023-03-31,1595.599976,1612.949951,1592.400024,1609.550049,1569.864014,17355614
2023-04-03,1607.550049,1615.699951,1602.750000,1610.550049,1570.839233,20012699
2023-04-05,1618.599976,1656.000000,1616.000000,1653.750000,1612.974121,21682696
2023-04-06,1648.550049,1669.199951,1647.099976,1666.349976,1625.263428,22318672
2023-04-10,1663.250000,1671.000000,1654.000000,1658.449951,1617.558105,15906643
2023-04-11,1659.000000,1669.400024,1651.099976,1663.300049,1622.288696,21180771
2023-04-12,1668.000000,1688.199951,1667.800049,1684.900024,1643.356079,13477752
2023-04-13,1688.300049,1697.050049,1678.150024,1692.449951,1650.719849,17665043
2023-04-17,1720.000000,1720.000000,1653.300049,1666.650024,1625.556152,16202574
2023-04-18,1670.000000,1677.250000,1656.400024,1659.599976,1618.679932,14818613
2023-04-19,1665.000000,1670.300049,1657.150024,1665.699951,1624.629395,12370584
2023-04-20,1671.699951,1677.449951,1666.400024,1671.900024,1630.676636,16461358
2023-04-21,1669.000000,1676.949951,1663.250000,1674.599976,1633.309937,10064309
2023-04-24,1687.000000,1691.449951,1674.099976,1688.150024,1646.526001,17837926
2023-04-25,1687.699951,1687.699951,1661.900024,1664.150024,1623.117676,25176534
2023-04-26,1660.000000,1675.000000,1655.000000,1671.800049,1630.579102,13696375
2023-04-27,1670.500000,1685.250000,1665.849976,1681.000000,1639.552246,23895196
2023-04-28,1684.699951,1691.000000,1670.000000,1687.599976,1645.989502,13958136
2023-05-02,1688.699951,1699.000000,1682.000000,1687.250000,1645.648071,16110592
2023-05-03,1684.949951,1696.000000,1679.650024,1693.150024,1651.402588,14703635
2023-05-04,1687.099976,1734.449951,1687.099976,1727.800049,1685.198364,28427319
2023-05-05,1639.000000,1660.949951,1622.099976,1625.650024,1585.567017,31385208
2023-05-08,1635.000000,1650.349976,1630.000000,1644.449951,1603.903442,18622262
2023-05-09,1649.900024,1656.000000,1639.949951,1644.500000,1603.952148,21844469
2023-05-10,1644.500000,1654.650024,1633.099976,1652.099976,1611.364746,23170275
2023-05-11,1665.150024,1688.000000,1649.250000,1653.199951,1612.437622,17867309
2023-05-12,1647.000000,1672.800049,1644.250000,1667.800049,1626.677734,11239380
2023-05-15,1672.000000,1680.750000,1665.099976,1675.800049,1634.480469,9256130
2023-05-16,1671.800049,1671.800049,1644.000000,1647.300049,1625.108521,16361043
2023-05-17,1650.000000,1650.000000,1625.349976,1638.449951,1616.377563,15233434
2023-05-18,1648.000000,1653.949951,1640.000000,1645.000000,1622.839355,24823471
2023-05-19,1648.000000,1650.000000,1631.550049,1646.900024,1624.713867,15230166
2023-05-22,1645.000000,1652.900024,1632.699951,1641.050049,1618.942627,14167016
2023-05-23,1649.000000,1649.599976,1633.449951,1637.199951,1615.144409,11235037
2023-05-24,1627.550049,1634.750000,1613.599976,1615.800049,1594.032837,16794056
2023-05-25,1615.699951,1620.050049,1597.349976,1609.599976,1587.916260,14888465
2023-05-26,1619.000000,1619.000000,1602.250000,1615.800049,1594.032837,13317533
2023-05-29,1628.500000,1641.000000,1624.849976,1635.500000,1613.467407,10908146
2023-05-30,1633.599976,1642.650024,1628.550049,1636.750000,1614.700562,18562964
2023-05-31,1629.900024,1634.949951,1604.650024,1610.849976,1589.149414,21667135
2023-06-01,1619.900024,1619.900024,1600.000000,1604.000000,1582.391724,25183469
2023-06-02,1612.449951,1614.800049,1601.000000,1606.500000,1584.858032,8929855
2023-06-05,1614.500000,1616.500000,1602.449951,1604.400024,1582.786377,9348621
2023-06-06,1607.650024,1609.849976,1592.250000,1599.400024,1577.853760,16091426
2023-06-07,1603.449951,1612.550049,1596.000000,1607.699951,1586.041870,12474513
2023-06-08,1603.250000,1626.000000,1603.250000,1608.699951,1587.028320,18697761
2023-06-09,1615.900024,1618.500000,1607.000000,1610.599976,1588.902832,9106289
2023-06-12,1612.550049,1615.800049,1599.449951,1600.800049,1579.234863,6704146
2023-06-13,1590.099976,1609.000000,1590.099976,1603.500000,1581.898438,13963054
2023-06-14,1610.449951,1612.000000,1600.199951,1601.750000,1580.171997,10056984
2023-06-15,1604.000000,1605.949951,1579.000000,1582.050049,1560.737427,17688738
2023-06-16,1587.150024,1609.199951,1584.000000,1602.750000,1581.158569,7889636
2023-06-19,1611.000000,1614.250000,1598.349976,1604.150024,1582.539795,12414573
2023-06-20,1604.150024,1611.000000,1590.650024,1607.500000,1585.844604,10002813
2023-06-21,1616.000000,1637.250000,1611.000000,1635.599976,1613.566040,12154473
2023-06-22,1640.000000,1657.550049,1639.050049,1643.599976,1621.458252,28298070
2023-06-23,1637.550049,1659.900024,1634.050049,1643.500000,1621.359619,10669609
2023-06-26,1645.000000,1650.750000,1628.699951,1635.550049,1613.516724,8065157
2023-06-27,1642.949951,1672.900024,1638.550049,1658.599976,1636.256226,16915932
2023-06-28,1670.000000,1679.900024,1660.500000,1676.150024,1653.569824,29781475
2023-06-30,1704.000000,1708.800049,1683.250000,1701.400024,1678.479614,20349508
2023-07-03,1712.500000,1757.500000,1710.000000,1719.800049,1696.631836,22052058
2023-07-04,1723.449951,1747.000000,1713.800049,1728.199951,1704.918579,19397594
2023-07-05,1716.250000,1720.000000,1668.550049,1673.300049,1650.758179,18582877
2023-07-06,1673.000000,1687.849976,1660.400024,1675.000000,1652.435303,26078272
2023-07-07,1665.000000,1675.000000,1656.300049,1660.400024,1638.031982,9963168
2023-07-10,1661.000000,1676.750000,1649.699951,1656.449951,1634.135132,19199221
2023-07-11,1663.000000,1676.000000,1645.500000,1648.400024,1626.193604,25335213
2023-07-12,1655.349976,1666.300049,1627.150024,1632.949951,1610.951660,35479179
2023-07-13,1656.699951,1657.449951,1638.050049,1641.099976,1618.991943,20956773
2023-07-14,1653.599976,1653.599976,1635.000000,1644.500000,1622.346191,12363607
2023-07-17,1650.000000,1682.000000,1633.000000,1678.900024,1656.282715,24626464
2023-07-18,1698.000000,1704.000000,1670.000000,1677.500000,1654.901611,40538409
2023-07-19,1681.099976,1688.750000,1675.000000,1685.099976,1662.399170,16467567
2023-07-20,1681.150024,1692.000000,1680.000000,1688.750000,1666.000000,28105474
2023-07-21,1680.000000,1689.800049,1673.250000,1675.750000,1653.175171,21077124
2023-07-24,1678.500000,1684.650024,1670.099976,1678.400024,1655.789429,16089722
2023-07-25,1684.650024,1699.000000,1678.400024,1696.599976,1673.744263,27996298
2023-07-26,1699.599976,1699.599976,1688.000000,1690.699951,1667.923706,12397179
2023-07-27,1699.900024,1703.000000,1667.449951,1673.150024,1650.610229,29870651
2023-07-28,1661.500000,1668.900024,1641.099976,1643.500000,1621.359619,20507842
2023-07-31,1650.050049,1656.800049,1638.699951,1651.199951,1628.955811,17282503
2023-08-01,1654.449951,1667.449951,1650.000000,1662.250000,1639.857056,17697094
2023-08-02,1642.000000,1651.500000,1633.150024,1640.500000,1618.400024,14058161
2023-08-03,1640.000000,1651.349976,1623.000000,1628.650024,1606.709717,28836973
2023-08-04,1635.150024,1656.500000,1629.250000,1652.199951,1629.942383,18694152
2023-08-07,1663.099976,1663.099976,1647.550049,1651.250000,1629.005249,14150459
2023-08-08,1651.699951,1655.599976,1642.050049,1649.900024,1627.673462,21886914
2023-08-09,1653.000000,1654.500000,1631.099976,1650.500000,1628.265259,16680618
